"","x"
"286","ZNF638 or ZNF638-IT1"
"287","DHCR7"
"288","LPL"
"289","CUL1"
"290","TAF5L"
"291","SEMA4D"
"292","MYO5C"
"293","SCAND1"
"294","HIST1H2AC"
"295","HMOX1"
"296","RRAGC"
"297","ZNF786"
"298","TECR"
"299","STRADA"
"300","ARRDC2"
"301","MPDU1"
"302","CBLN3"
"303","TBCK"
"304","SPPL2B"
"305","ARHGAP21"
"306","NOM1"
"307","PPP2CA"
"308","CXorf24"
"309","CCDC69"
"310","C5orf34"
"311","XPNPEP1"
"312","LINC00869 or LOC727820"
"313","DNAJC7"
"314","CTU2"
"315","MRPS2"
"316","RAB24"
"317","ZNF780B"
"318","CD2BP2"
"319","PSMC1"
"320","COTL1"
"321","NQO2"
"322","RPS16"
"323","IRF8"
"324","ZNF717"
"325","HOXC4"
"326","RNASEH2B"
"327","COX18"
"328","SMEK2"
"329","ABCD4"
"330","MSN"
"331","OTUD6B"
"332","CELSR1"
"333","VILL"
"334","PLEKHA2"
"335","ZNF780A"
"336","CTSK"
"337","BBS4"
"338","KHSRP"
"339","PABPC4"
"340","SBDSP1 or SBDS"
"341","ACSS2"
"342","MED8"
"343","POU2F3"
"344","BCAS2"
"345","PPP4R2"
"346","MADD"
"347","LINC00869 or LOC727820 or LINC00623 or RP11-640M9.1"
"348","ARPP21 or LOC100130503"
"349","ZNF852"
"350","ARPP19"
"351","MUL1"
"352","ZNF326"
"353","TSSC4"
"354","DHTKD1"
"355","OAZ1"
"356","ZMAT5"
"357","TUBGCP6"
"358","HPCAL1"
"359","ABI1"
"360","BLCAP"
"361","PLEKHO1"
"362","CDK2AP2"
"363","NOL12"
"364","POLK"
"365","TRANK1"
"366","ATP10D"
"367","EPHB6"
"368","DPY19L4"
"369","BAIAP2-AS1"
"370","RALGPS1"
"371","GALNS"
"372","OMA1"
"373","MRPL50"
"374","PARN"
"375","SLC25A4"
"376","CCSER2"
"377","ARID3A"
"378","ZNF12"
"379","WBP1L"
"380","VDAC2"
